image_path,label
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/130_plight_58263.jpg,plight
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/131_inferential_39304.jpg,inferential
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/132_dolloping_23151.jpg,dolloping
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/133_unlit_82826.jpg,unlit
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/134_Sanded_67672.jpg,sanded
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/135_dual_23977.jpg,dual
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/136_Guvnors_34350.jpg,guvnors
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/137_Dreamworld_23736.jpg,dreamworld
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/138_Hadar_34476.jpg,hadar
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/139_FACILITATED_27831.jpg,facilitated
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/140_gulls_34204.jpg,gulls
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/141_Consulates_16412.jpg,consulates
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/142_SUFFUSING_75917.jpg,suffusing
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/143_Pawing_56035.jpg,pawing
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/144_EMIGRANTS_25365.jpg,emigrants
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/145_boycotts_9094.jpg,boycotts
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/146_CUTENESS_18843.jpg,cuteness
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/147_STIPULATION_74777.jpg,stipulation
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/148_baas_5242.jpg,baas
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/149_LIFESAVING_44407.jpg,lifesaving
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/150_Dislodging_22413.jpg,dislodging
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/151_Smoke_72020.jpg,smoke
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/152_com_15060.jpg,com
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/153_RAGTAG_62202.jpg,ragtag
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/154_Snuffed_72376.jpg,snuffed
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/155_Gracefulness_33299.jpg,gracefulness
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/156_deviation_21270.jpg,deviation
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/157_VIOLATIONS_84719.jpg,violations
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/158_hernandez_35913.jpg,hernandez
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/159_unplugged_82977.jpg,unplugged
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/160_mulches_50278.jpg,mulches
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/161_Awards_5143.jpg,awards
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/162_GAEL_31486.jpg,gael
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/163_petersen_57018.jpg,petersen
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/164_Oldish_53273.jpg,oldish
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/165_GOSLING_33210.jpg,gosling
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/166_Counts_17520.jpg,counts
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/167_ENLIGHTEN_25860.jpg,enlighten
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/168_Fcu_28352.jpg,fcu
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/169_BLACKED_7787.jpg,blacked
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/170_creation_17932.jpg,creation
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/171_resurgent_65423.jpg,resurgent
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/172_SOCIOLOGIST_72468.jpg,sociologist
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/173_Condenses_15787.jpg,condenses
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/174_RECOLLECTION_63206.jpg,recollection
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/175_Meteors_48058.jpg,meteors
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/176_UNSAY_83142.jpg,unsay
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/177_DURUM_24205.jpg,durum
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/178_HUME_37287.jpg,hume
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/179_SPASMS_73129.jpg,spasms
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/180_ADJUDGE_1051.jpg,adjudge
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/181_Multiplies_50360.jpg,multiplies
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/182_Springlike_73783.jpg,springlike
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/183_Kindled_42522.jpg,kindled
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/184_OUTGOINGS_54049.jpg,outgoings
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/185_Chance_12616.jpg,chance
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/186_SPIC_73367.jpg,spic
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/187_pekingeses_56337.jpg,pekingeses
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/188_FORELIMBS_30208.jpg,forelimbs
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/189_leniently_44067.jpg,leniently
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/190_gorps_33204.jpg,gorps
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/191_mandingo_46420.jpg,mandingo
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/192_Phi_57172.jpg,phi
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/193_rumormongers_67069.jpg,rumormongers
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/194_blow_8221.jpg,blow
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/195_spicules_73379.jpg,spicules
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/196_alfarero_1956.jpg,alfarero
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/197_SYMMETRIES_76968.jpg,symmetries
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/198_cries_18079.jpg,cries
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/199_LYNCH_45787.jpg,lynch
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/200_seismically_69211.jpg,seismically
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/201_Maurine_47220.jpg,maurine
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/202_HAYRICK_35277.jpg,hayrick
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/203_precanceled_59427.jpg,precanceled
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/204_isabella_40914.jpg,isabella
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/205_SPRAWL_73739.jpg,sprawl
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/206_generics_32103.jpg,generics
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/207_NAVARRE_51044.jpg,navarre
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/208_CHARLESTONS_12792.jpg,charlestons
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/209_fraternized_30681.jpg,fraternized
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/210_Mesabi_47919.jpg,mesabi
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/211_wideners_86492.jpg,wideners
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/212_velazquez_84201.jpg,velazquez
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/213_UNTRANSLATED_83367.jpg,untranslated
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/214_conserved_16256.jpg,conserved
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/215_PSYCHIC_61000.jpg,psychic
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/216_townee_79933.jpg,townee
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/217_EXCEPTIONS_27044.jpg,exceptions
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/218_PETULANCE_57071.jpg,petulance
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/219_reigned_64151.jpg,reigned
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/220_discuses_22194.jpg,discuses
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/221_dyslectics_24315.jpg,dyslectics
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/222_LUCKILY_45525.jpg,luckily
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/223_ratiocinating_62553.jpg,ratiocinating
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/224_afros_1486.jpg,afros
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/225_particulars_55716.jpg,particulars
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/226_Hither_36310.jpg,hither
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/227_TWADDLER_81328.jpg,twaddler
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/228_Envy_26154.jpg,envy
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/229_Powerful_59285.jpg,powerful
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/230_TREASONOUS_80457.jpg,treasonous
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/231_claque_13927.jpg,claque
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/232_SEMIFINALIST_69318.jpg,semifinalist
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/233_Gallimaufries_31574.jpg,gallimaufries
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/234_obliqueness_52816.jpg,obliqueness
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/235_retrofitted_65591.jpg,retrofitted
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/236_Incubate_38893.jpg,incubate
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/237_Driven_23828.jpg,driven
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/238_DEFRAYS_20126.jpg,defrays
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/239_Osaka_53841.jpg,osaka
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/240_maoris_46628.jpg,maoris
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/241_Wirehair_86844.jpg,wirehair
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/242_Deutschland_21235.jpg,deutschland
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/243_METAPHYSICS_48028.jpg,metaphysics
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/244_bunting_10259.jpg,bunting
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/245_UNITING_82736.jpg,uniting
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/246_Narrating_50908.jpg,narrating
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/247_Programmed_60434.jpg,programmed
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/248_Craniums_17804.jpg,craniums
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/249_TROUPED_80878.jpg,trouped
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/250_SNARFED_72148.jpg,snarfed
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/251_Stroppiness_75304.jpg,stroppiness
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/252_Derisory_20871.jpg,derisory
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/253_Defend_20000.jpg,defend
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/254_COBRAS_14556.jpg,cobras
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/255_Inelegant_39197.jpg,inelegant
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/256_COLLIDING_14931.jpg,colliding
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/257_Crays_17891.jpg,crays
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/258_Lamaseries_43165.jpg,lamaseries
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/259_misogyny_48992.jpg,misogyny
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/260_Crenelate_18010.jpg,crenelate
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/261_APPLIQUED_3547.jpg,appliqued
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/262_CALKING_10896.jpg,calking
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/263_vidal_84579.jpg,vidal
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/264_HUTCHES_37481.jpg,hutches
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/265_HIES_36093.jpg,hies
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/266_jeanne_41344.jpg,jeanne
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/267_INEFFICIENT_39193.jpg,inefficient
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/268_Ramrods_62333.jpg,ramrods
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/269_HEARTH_35472.jpg,hearth
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/270_slackness_71457.jpg,slackness
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/271_ACTH_861.jpg,acth
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/272_PLEASURES_58208.jpg,pleasures
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/273_Banjos_5786.jpg,banjos
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/274_abseil_411.jpg,abseil
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/275_Surplices_76472.jpg,surplices
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/276_FROSTINESS_31053.jpg,frostiness
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/277_Anus_3310.jpg,anus
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/278_OBLIVION_52824.jpg,oblivion
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/279_roistering_66493.jpg,roistering
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/280_MISHANDLING_48923.jpg,mishandling
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/281_WELTER_86028.jpg,welter
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/282_fagged_27895.jpg,fagged
/home/xnmaster/DlProject/deep-learning-project-2024-ai_nndl_group_01_/Synthetic/DEEPLSyntheticD Val Def/2425/1/283_satori_67897.jpg,satori
